Название,Описание,Артикул,Цена
Kryštof Edlinger YV-800Е 4/4,Электроскрипка в наборе с аксессуарами,Арт. 93705,12290.00
Alice A705 3/4,Скрипичные струны,Арт. 95283,480.00
Alice A703 3/4,Скрипичные струны,Арт. 95282,300.00
Alice A705 4/4,Скрипичные струны,Арт. 95281,480.00
Alice A703 4/4,Скрипичные струны,Арт. 95280,300.00
Wisemann Violin Shoulder Rest VSR000,Мостик для скрипки,Арт. 95409,650.00
Wisemann Violin Bow VNB300,Смычок для скрипки,Арт. 95378,3800.00
Wisemann Rosin 022918,Канифоль для смычка,Арт. 95374,134.00
Wisemann Rosin 022895,Канифоль для смычка,Арт. 95376,270.00
Wisemann Rosin 022901,Канифоль для смычка,Арт. 95375,157.00
Veston V0931,Струны для скрипки,Арт. 95293,330.00
Wisemann Violin Stand WVS-1,Стойка для скрипки,Арт. 92215,1340.00
Мозеръ CRC-3 (4/4-3/4),"Плечевой упор/подушка для скрипки размером 4/4-3/4, из замши",Арт. 93742,830.00
Kryštof Edlinger M700 4/4,Скрипка,Арт. 90904,12990.00
Kryštof Edlinger E9A4 1/32,Скрипка,Арт. 90922,8990.00
Kryštof Edlinger M600 4/4,Скрипка,Арт. 90909,16990.00
Kryštof Edlinger E9A0 4/4,Скрипка,Арт. 90917,8990.00
Kryštof Edlinger E900 4/4,Скрипка,Арт. 90911,8290.00
Kryštof Edlinger E9A4 1/8,Скрипка,Арт. 90921,8990.00
Kryštof Edlinger E9A2 1/4,Скрипка,Арт. 90920,8990.00
Kryštof Edlinger E9A2 1/2,Скрипка,Арт. 90919,8990.00
Kryštof Edlinger E9A0 3/4,Скрипка,Арт. 90918,8990.00
Kryštof Edlinger E902 1/4,Скрипка,Арт. 90914,8290.00
Kryštof Edlinger E902 1/2,Скрипка,Арт. 90913,8290.00
Kryštof Edlinger E900 3/4,Скрипка,Арт. 90912,8290.00
EL's ELS-PLS-1,"Полироль для скрипки, альта и виолончели",Арт. 92401,650.00
EL's ELS-LPG-1,Смазка для колков,Арт. 92399,1100.00
EL's ELS-CLN-1,"Очиститель для скрипки, альта и виолончели",Арт. 92396,1000.00
D`Addario DRGBK-VR300,Футляр с канифолью,Арт. 90674,1620.00
Savarez 1280,Набор струн для скрипки,Арт. 89835,2850.00
Dunlop 6592 Orchestral 65 Polish & Cleaner,"Средство по уходу скрипок, альтов",Арт. 87669,640.00
D`Addario VR300,Канифоль для смычков,Арт. 77814,510.00
Kryštof Edlinger YV-800 1/2,Скрипка ученическая 1/2.,Арт. 70128,9790.00
